--------------------------------------------------------------------------					
					
d13C(CH4) data of the clean air monitoring station Alert					
					
--------------------------------------------------------------------------					
					
Institut für Umweltphysik (IUP)					
					
University of Heidelberg, Germany					
					
--------------------------------------------------------------------------					
					
LAST UPDATE: 05/2017					
					
CONTRIBUTORS: C.Veidt, C.Poß, and I. Levin					
					
--------------------------------------------------------------------------					
					
SAMPLING LOCATION:					
					
Alert, Ellesmere Island, Nunavut, Canada					
					
82.45°N  62.52°W  210m a.s.l.					
					
--------------------------------------------------------------------------					
					
REFERENCES:					
					
C. Veidt PhD thesis in preparation					
					
Levin I., C. Veidt, B. H. Vaughn, G. Brailsford, T. Bromley,					
R.Heinz, D. Lowe, J. B. Miller, C. Poß, and J. W. C. White					
No inter-hemispheric d13CH4 trend observedNature, Vol.486, 28.6.2012,					
pages E3-E4, doi:10.1038/nature11175					
					
NOTE: PLEASE CITE THE LATTER REFERENCE WHEN USING THIS DATA					
					
--------------------------------------------------------------------------					
					
13C/12C ratios of CO2 derived from catalytical combustion of the extracted CH4					
samples were measured with a dual inlet mass spectrometer (MAT 252, Finnigan).					
Hence d13C(CH4) results are NOT affected by the Kr-effect described in					
J. Schmitt et al., AMT 2013, DOI: 10.5194/amt-6-1425-2013.					
					
--------------------------------------------------------------------------					
					
SCALE:					
					
mole fraction on NOAA04 scale					
					
d13C is reported as deviation from the standard VPDB in permil					
d13C(CH4) values are reported on UHEI scale					
					
--------------------------------------------------------------------------					
					
Column 1: start of sampling (Alert: integrated sampling)					
Column 2: end of sampling in decimal year					
Column 3: Alert CH4 mole fraction in ppb					
Column 4: individual error in ppb (1 sigma standard deviation + error propagation)					
Column 5: Alert d13C(CH4) data in permil versus V-PDB					
Column 6: individual error in permil point (1 sigma standard deviation + error propagation)					
					
--------------------------------------------------------------------------					
					
start	stop	CH4	1sig	d13CH4	1sig
1993.875	1993.916	1836.4	5.0	-47.83	0.10
1993.922	1993.952	1842.5	5.0	-47.88	0.10
1993.952	1993.990	1837.1	5.0	-47.98	0.10
1994.029	1994.067	1863.9	5.0	-47.74	0.10
1994.067	1994.105	1852.6	5.0	-47.76	0.10
1994.105	1994.144	1856.9	3.0	-47.93	0.10
1994.144	1994.182	1855.6	5.0	-47.67	0.10
1994.182	1994.220	1860.1	3.0	-47.80	0.10
1994.220	1994.259	1862.1	3.0	-47.79	0.10
1994.259	1994.297	1845.7	3.0	-47.77	0.10
1994.297	1994.335	1848.6	3.0	-47.84	0.10
1994.453	1994.489	1810.1	3.0	-47.59	0.10
1994.489	1994.527	1808.9	3.0	-47.70	0.10
1994.527	1994.565	1794.1	3.0	-47.62	0.10
1994.642	1994.680	1805.6	3.0	-47.68	0.10
1994.834	1994.872	1825.7	3.0	-47.83	0.10
1994.872	1994.897	1847.2	3.0	-47.96	0.10
1994.910	1994.949	1843.2	3.0	-47.86	0.10
1995.179	1995.217	1847.3	3.0	-47.66	0.10
1995.217	1995.255	1861.5	3.0	-47.71	0.10
1995.332	1995.370	1829.8	3.0	-47.60	0.10
1995.370	1995.409	1827.3	3.0	-47.74	0.10
1995.447	1995.485	1810.1	3.0	-47.65	0.10
1995.524	1995.562	1808.0	3.0	-47.41	0.10
