C01 TITLE: ethane event sampling data 
C02 FILE NAME: egb444n01.ec.as.cn.ethane.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 14523
C05 HEADER LINES: 32
C06 DATA VERSION: 201210
C07 STATION NAME: Egbert 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: Canada
C11 CONTRIBUTOR: EC
C12 LATITUDE: 44.23
C13 LONGITUDE: -79.78333
C14 ALTITUDE: 253
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 5
C17 CONTACT POINT: Peter.Brickell@ec.gc.ca
C18 PARAMETER: ethane
C19 COVERING PERIOD: 2001-03-08 2009-06-12
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: pptv
C22 MEASUREMENT METHOD: Gas Chromatography (FID)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: Scale is based on several gravimetrically prepared, certified mixtures of 6 to 22 hydrocarbons in N2 at mixing ratios of 10-15 ppm(v) prepared by Scott Specialty Gases (USA). Stated accuracies are 5%-10% . The following standards have been used:     1)  16 component mixture with approx. ½ the analytes measured.  There have been two identical mixtures used over the 8 years of operation: cylinders nos. ALM005004 and ALM004956.  Lab ID “SCA” and “SCC” for the first and second mixture respectively.  These were extensively cross calibrated and found to be consistent within 5% for all compounds.    2)  16 component mixture with approx. ½ the analytes measured.  This mixture has been in use since the beginning of the measurement period.  Cylinder no. ALM010625.  Lab ID “SCB”.    3)  22 component mixture containing the same compounds as mixture 2 (SCB) plus C6 to C8 aromaitc species.  This was prepared by an second manufacturer (Polyscience/Messer) to cross check the standards made by Scott Specialty Gases (SCB).  This cylinder was cross calibrated with mixture 2 (SCB) and mixture 4 (BTEX) and was found to be consistent within 10% for all compounds with the exception of acetylene and 2-methylbutane.  This mixture has been in intermittant use since 2005.     4)  6 component mixtures containing C6 to C8 aromatic species.  A number of these cylinders have been used over the period of operation and checked for consistency at each switchover point.  Multiple cylinders have been required due to the small volume of gas in the cylinders and the short certified shelf life of mixtures containing these compounds.  
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:Abbreviation for some parameters, http://ds.data.jma.go.jp/gmd/wdcgg/pub/data/documents/EC_VOCs_parameters.txt
C31
C32   DATE  TIME       DATE  TIME           ethane    ND      SD     F CS       REM
2001-03-08 04:38 9999-99-99 99:99            1941. -9999 -99999.     0  0 -99999999
2001-03-08 06:38 9999-99-99 99:99            2384. -9999 -99999.     0  0 -99999999
2001-03-08 08:38 9999-99-99 99:99            2402. -9999 -99999.     0  0 -99999999
2001-03-08 14:38 9999-99-99 99:99            3262. -9999 -99999.     0  0 -99999999
2001-03-08 16:38 9999-99-99 99:99            4352. -9999 -99999.     0  0 -99999999
2001-03-12 23:39 9999-99-99 99:99            2059. -9999 -99999.     0  0 -99999999
2001-03-13 01:39 9999-99-99 99:99            2096. -9999 -99999.     0  0 -99999999
2001-03-13 03:39 9999-99-99 99:99            2070. -9999 -99999.     0  0 -99999999
2001-03-13 13:39 9999-99-99 99:99            2774. -9999 -99999.     0  0 -99999999
2001-03-14 04:50 9999-99-99 99:99            2309. -9999 -99999.     0  0 -99999999
2001-03-14 07:50 9999-99-99 99:99            2122. -9999 -99999.     0  0 -99999999
2001-03-15 09:19 9999-99-99 99:99            2287. -9999 -99999.     0  0 -99999999
2001-03-15 12:19 9999-99-99 99:99            2356. -9999 -99999.     0  0 -99999999
2001-03-15 15:19 9999-99-99 99:99            2000. -9999 -99999.     0  0 -99999999
2001-03-17 01:58 9999-99-99 99:99            1941. -9999 -99999.     0  0 -99999999
2001-03-17 04:58 9999-99-99 99:99            1984. -9999 -99999.     0  0 -99999999
2001-03-17 07:58 9999-99-99 99:99            1959. -9999 -99999.     0  0 -99999999
2001-03-17 10:58 9999-99-99 99:99            1946. -9999 -99999.     0  0 -99999999
2001-03-17 13:58 9999-99-99 99:99            1978. -9999 -99999.     0  0 -99999999
2001-03-17 16:58 9999-99-99 99:99            1962. -9999 -99999.     0  0 -99999999
2001-03-17 19:59 9999-99-99 99:99            1921. -9999 -99999.     0  0 -99999999
2001-03-18 04:59 9999-99-99 99:99            1908. -9999 -99999.     0  0 -99999999
2001-03-18 07:59 9999-99-99 99:99            1949. -9999 -99999.     0  0 -99999999
2001-03-22 04:42 9999-99-99 99:99            2820. -9999 -99999.     0  0 -99999999
2001-03-22 07:42 9999-99-99 99:99            2720. -9999 -99999.     0  0 -99999999
2001-03-22 10:42 9999-99-99 99:99            2326. -9999 -99999.     0  0 -99999999
2001-03-22 13:42 9999-99-99 99:99            2175. -9999 -99999.     0  0 -99999999
2001-03-22 23:58 9999-99-99 99:99            1928. -9999 -99999.     0  0 -99999999
2001-03-23 02:58 9999-99-99 99:99            2057. -9999 -99999.     0  0 -99999999
2001-03-23 05:58 9999-99-99 99:99            1972. -9999 -99999.     0  0 -99999999
2001-03-23 08:58 9999-99-99 99:99            1929. -9999 -99999.     0  0 -99999999
2001-03-23 11:58 9999-99-99 99:99            2050. -9999 -99999.     0  0 -99999999
2001-03-23 14:58 9999-99-99 99:99            1907. -9999 -99999.     0  0 -99999999
2001-03-23 17:58 9999-99-99 99:99            1828. -9999 -99999.     0  0 -99999999
2001-03-24 02:59 9999-99-99 99:99            1775. -9999 -99999.     0  0 -99999999
2001-03-24 05:59 9999-99-99 99:99            1882. -9999 -99999.     0  0 -99999999
2001-03-24 08:59 9999-99-99 99:99            1810. -9999 -99999.     0  0 -99999999
2001-03-24 11:59 9999-99-99 99:99            1753. -9999 -99999.     0  0 -99999999
2001-03-24 14:59 9999-99-99 99:99            1940. -9999 -99999.     0  0 -99999999
2001-03-24 17:59 9999-99-99 99:99            2007. -9999 -99999.     0  0 -99999999
2001-03-24 20:59 9999-99-99 99:99            1985. -9999 -99999.     0  0 -99999999
2001-03-25 05:59 9999-99-99 99:99            1954. -9999 -99999.     0  0 -99999999
2001-03-25 08:59 9999-99-99 99:99            1949. -9999 -99999.     0  0 -99999999
2001-03-25 11:59 9999-99-99 99:99            1878. -9999 -99999.     0  0 -99999999
2001-03-25 15:00 9999-99-99 99:99            1874. -9999 -99999.     0  0 -99999999
2001-03-25 18:00 9999-99-99 99:99            1891. -9999 -99999.     0  0 -99999999
2001-03-25 21:00 9999-99-99 99:99            1926. -9999 -99999.     0  0 -99999999
2001-03-26 00:00 9999-99-99 99:99            1950. -9999 -99999.     0  0 -99999999
2001-03-26 09:00 9999-99-99 99:99            2150. -9999 -99999.     0  0 -99999999
2001-03-26 12:00 9999-99-99 99:99            2057. -9999 -99999.     0  0 -99999999
2001-03-26 15:00 9999-99-99 99:99            1846. -9999 -99999.     0  0 -99999999
2001-03-26 18:00 9999-99-99 99:99            1846. -9999 -99999.     0  0 -99999999
2001-03-26 21:00 9999-99-99 99:99            1882. -9999 -99999.     0  0 -99999999
2001-03-27 00:00 9999-99-99 99:99            1930. -9999 -99999.     0  0 -99999999
2001-03-27 03:00 9999-99-99 99:99            1917. -9999 -99999.     0  0 -99999999
2001-03-27 12:01 9999-99-99 99:99            2126. -9999 -99999.     0  0 -99999999
2001-03-27 15:01 9999-99-99 99:99            1917. -9999 -99999.     0  0 -99999999
2001-03-27 18:01 9999-99-99 99:99            1891. -9999 -99999.     0  0 -99999999
2001-03-30 02:41 9999-99-99 99:99            2549. -9999 -99999.     0  0 -99999999
2001-03-30 05:41 9999-99-99 99:99            2534. -9999 -99999.     0  0 -99999999
2001-03-30 08:42 9999-99-99 99:99            2448. -9999 -99999.     0  0 -99999999
2001-03-30 17:42 9999-99-99 99:99            2435. -9999 -99999.     0  0 -99999999
2001-03-30 20:42 9999-99-99 99:99            2433. -9999 -99999.     0  0 -99999999
2001-03-30 23:42 9999-99-99 99:99            2469. -9999 -99999.     0  0 -99999999
2001-03-31 02:42 9999-99-99 99:99            2501. -9999 -99999.     0  0 -99999999
2001-03-31 05:42 9999-99-99 99:99            2467. -9999 -99999.     0  0 -99999999
2001-03-31 08:42 9999-99-99 99:99            2305. -9999 -99999.     0  0 -99999999
2001-03-31 11:42 9999-99-99 99:99            2420. -9999 -99999.     0  0 -99999999
2001-03-31 20:43 9999-99-99 99:99            2020. -9999 -99999.     0  0 -99999999
2001-03-31 23:43 9999-99-99 99:99            2329. -9999 -99999.     0  0 -99999999
2001-04-01 02:43 9999-99-99 99:99            2549. -9999 -99999.     0  0 -99999999
2001-04-01 05:43 9999-99-99 99:99            2553. -9999 -99999.     0  0 -99999999
2001-04-01 08:43 9999-99-99 99:99            2547. -9999 -99999.     0  0 -99999999
2001-04-01 11:43 9999-99-99 99:99            1928. -9999 -99999.     0  0 -99999999
2001-04-01 14:43 9999-99-99 99:99            1799. -9999 -99999.     0  0 -99999999
2001-04-01 23:44 9999-99-99 99:99            1852. -9999 -99999.     0  0 -99999999
2001-04-02 02:44 9999-99-99 99:99            1939. -9999 -99999.     0  0 -99999999
2001-04-02 05:44 9999-99-99 99:99            2035. -9999 -99999.     0  0 -99999999
2001-04-02 08:44 9999-99-99 99:99            2103. -9999 -99999.     0  0 -99999999
2001-04-02 11:44 9999-99-99 99:99            2077. -9999 -99999.     0  0 -99999999
2001-04-02 14:44 9999-99-99 99:99            2065. -9999 -99999.     0  0 -99999999
2001-04-02 17:44 9999-99-99 99:99            1899. -9999 -99999.     0  0 -99999999
2001-04-03 02:45 9999-99-99 99:99            1889. -9999 -99999.     0  0 -99999999
2001-04-03 05:45 9999-99-99 99:99            2054. -9999 -99999.     0  0 -99999999
2001-04-03 08:45 9999-99-99 99:99            2103. -9999 -99999.     0  0 -99999999
2001-04-03 11:45 9999-99-99 99:99            2248. -9999 -99999.     0  0 -99999999
2001-04-03 21:43 9999-99-99 99:99            1928. -9999 -99999.     0  0 -99999999
2001-04-04 00:43 9999-99-99 99:99            1877. -9999 -99999.     0  0 -99999999
2001-04-04 03:43 9999-99-99 99:99            1882. -9999 -99999.     0  0 -99999999
2001-04-04 06:43 9999-99-99 99:99            1867. -9999 -99999.     0  0 -99999999
2001-04-04 09:43 9999-99-99 99:99            2047. -9999 -99999.     0  0 -99999999
2001-04-04 12:43 9999-99-99 99:99            2117. -9999 -99999.     0  0 -99999999
2001-04-04 15:43 9999-99-99 99:99            1976. -9999 -99999.     0  0 -99999999
2001-04-05 00:43 9999-99-99 99:99            1780. -9999 -99999.     0  0 -99999999
2001-04-05 03:44 9999-99-99 99:99            1853. -9999 -99999.     0  0 -99999999
2001-04-05 06:44 9999-99-99 99:99            1933. -9999 -99999.     0  0 -99999999
2001-04-05 09:44 9999-99-99 99:99            2682. -9999 -99999.     0  0 -99999999
2001-04-05 12:44 9999-99-99 99:99            2248. -9999 -99999.     0  0 -99999999
2001-04-05 15:44 9999-99-99 99:99            1824. -9999 -99999.     0  0 -99999999
2001-04-05 18:44 9999-99-99 99:99            1789. -9999 -99999.     0  0 -99999999
2001-04-06 03:44 9999-99-99 99:99            1851. -9999 -99999.     0  0 -99999999
2001-04-06 06:44 9999-99-99 99:99            2011. -9999 -99999.     0  0 -99999999
2001-04-06 09:44 9999-99-99 99:99            1967. -9999 -99999.     0  0 -99999999
2001-04-06 12:44 9999-99-99 99:99            2096. -9999 -99999.     0  0 -99999999
2001-04-06 15:44 9999-99-99 99:99            2335. -9999 -99999.     0  0 -99999999
2001-04-07 04:04 9999-99-99 99:99            2529. -9999 -99999.     0  0 -99999999
2001-04-07 07:04 9999-99-99 99:99            2235. -9999 -99999.     0  0 -99999999
2001-04-07 10:04 9999-99-99 99:99            2178. -9999 -99999.     0  0 -99999999
2001-04-07 13:04 9999-99-99 99:99 -99999999999999. -9999 -99999. -9999  0 -99999999
2001-04-07 16:04 9999-99-99 99:99            1969. -9999 -99999.     0  0 -99999999
2001-04-07 19:04 9999-99-99 99:99            2043. -9999 -99999.     0  0 -99999999
2001-04-07 22:04 9999-99-99 99:99            2250. -9999 -99999.     0  0 -99999999
2001-04-08 07:05 9999-99-99 99:99            2938. -9999 -99999.     0  0 -99999999
